scientific_name,count
Cornus controversa,27
Catalpa ovata,27
Ebenopsis ebano,26
Amelanchier alnifolia,26
Buxus sempervirens,26
Bougainvillea,26
Wilsoniana,26
Cornus amomum,26
Pinus coulteri,26
Pistacia atlantica,25
Fagraea berteroana,25
Larix sibirica,25
Quercus cerris,25
Thevetia peruviana,25
Photinia Lindl.,25
Piscidia piscipula,25
Quercus undulata,25
Magnolia denudata,24
Cercis siliquastrum,24
Ptychosperma macarthurii,24
Eucalyptus L.,24
Brachychiton rupestris,24
Gardenia taitensis,24
Aesculus xcarnea,24
Pinus jeffreyi,24
Ravenala madagascariensis,24
Acer cappadocicum,23
Persea indica,23
Prosopis alba,23
Fraxinus mandshurica,23
Albizia,23
Roseodendron chryseum,23
Salix sepulcralis,23
Plumeria obtusa,23
Bischofia,22
Acmena smithii,22
Fremontodendron,22
Diospyros texana,22
Syagrus,22
Lysiloma sabicu,22
Schotia brachypetala,22
Viburnum opulus,21
Euonymus japonicus,21
Prunus glandulosa,21
Cassia tomentosa,21
Buddleja davidii,21
Sciadopitys verticillata,21
Acacia cultriformis,21
Malus sargentii,21
Acca sellowiana,21
Persea Mill.,21
Radermachera sinica,21
Casasia clusiifolia,21
Grevillea,20
Mahonia trifoliolata,20
Cunninghamia lanceolata,20
Dicksonia antarctica,20
Quercus berberidifolia,20
Carya texana,20
Laurus,20
Macadamia ternifolia,20
Pinus bungeana,20
Rhus ovata,20
Ensete ventricosum,20
Poncirus trifoliata,20
Cassia corymbosa,19
Cassia,19
Cussonia spicata,19
Caesalpinia gilliesii,19
Callistemon rigidus,19
Rhus copallina,19
Cupressocyparis,19
Acacia koa,19
Ficus laureola,19
Populus L.,19
Ficus mysorensis,18
Quercus laceyi,18
Mimusops caffra,18
Morus nigra,18
Mespilus,18
Escallonia exoniensis,18
Ehretia anacua,18
Nandina domestica,18
Hippophae rhamnoides,18
Brahea brandegeei,18
Cornus officinalis,18
Acoelorraphe wrightii,18
Sorbus tianschanica,18
Ulmus thomasi,18
Catalpa Scop.,18
Cassia grandis,18
Taxus cuspidata,18
Ilex crenata,17
Ostrea caroliniana,17
Ceanothus gloriosus,17
Thuja standishii,17
Eucalyptus incrassata,17
Tecoma stans,17
Jatropha integerrima,17
Aralia,17
Nyssa ogeche,17
Juniperus ashei,17
Syringa meyeri,17
Populus fremonti,17
Pistacia vera,17
Prunus campanulata,17
Acer capillipes,17
Acer oblongum,16
Annona cherimola,16
Elaeagnus,16
Yucca aloifolia,16
Acacia cyclops,16
Cassia javanica,16
Wisteria sinensis,16
Citrus aurantium,16
Jubaea chilensis,16
Pinus serotina,16
Sabal mexicana,16
Juniperus osteosperma,16
Picea rubens,16
Camellia reticulata,16
Hamamelis vernalis,16
Hesperocyparis macrocarpa,16
Kigelia africana,16
Sorbus intermedia,15
Cornus sericea,15
Physocarpus opulifolius,15
Pinus wallichiana,15
Vachellia constricta,15
Sideroxylon tenax,15
Bauhania,15
Albizia lophantha,15
Citrus meyeri,15
Prunnus yedoensis,15
Quercus dumosa,15
Alnus incana,15
Quercus wislizeni,15
Prunus subcordata,15
Pithecellobium dulce,15
Senna bicapsularis,15
Pieris japonica,15
Duranta repens,15
Hesperocyparis arizonica,15
Callitris glaucophylla,15
Salix laevigata,14
Stewartia rostrata,14
Phellodendron,14
Ptelea,14
Rosa,14
Tibouchina,14
Taxus canadensis,14
Abelia grandiflora,14
Manihot esculenta,14
Cupressus nootkatensis,14
Ligustrum confusum,14
Juniperus oxycedrus,14
Cornus rutgersensis,14
Cercidium floridum,14
Metrosideros polymorpha,14
Eucalyptus lansdowneana,14
Malus fusca,14
Acer floridanum,14
Sambucus canadensis,13
Eucalyptus pauciflora,13
Ficus religiosa,13
Paulownia fortunei,13
Caesalpinia pulcherrima,13
Salix scouleriana,13
Viburnum lentago,13
Ilex glabra,13
Baccharis halimifolia,13
Afrocarpus falcatus,13
Abies nordmanniana,13
Lyonothamnus asplenifolius,13
Rhopalostylis baueri,13
Salix pendulina,13
Corylus americana,13
Sycoparrotia P.,12
Ptelea trifoliata,12
Pyracantha M.Roem.,12
