state,city,common_name,count
Iowa,Adel,Littleleaf linden,14
Iowa,Adel,Maple,1
Iowa,Adel,Northern hackberry,13
Iowa,Adel,Northern red oak,11
Iowa,Adel,Norway maple,37
Iowa,Adel,Pear,39
Iowa,Adel,Pin oak,8
Iowa,Adel,Red maple,7
Iowa,Adel,Siberian elm,16
Iowa,Adel,Silver maple,89
Iowa,Adel,Sugar maple,29
Iowa,Adel,Swamp white oak,14
Iowa,Adel,White ash,2
Iowa,Baxter,Apple,4
Iowa,Baxter,Ash,1
Iowa,Baxter,Blue spruce,11
Iowa,Baxter,Bur oak,2
Iowa,Baxter,Eastern red cedar,13
Iowa,Baxter,Eastern white pine,3
Iowa,Baxter,Green ash,5
Iowa,Baxter,Honeylocust,1
Iowa,Baxter,Mulberry,2
Iowa,Baxter,Northern hackberry,4
Iowa,Baxter,Northern red oak,10
Iowa,Baxter,Northern white cedar,7
Iowa,Baxter,Norway maple,4
Iowa,Baxter,Pear,1
Iowa,Baxter,Pin oak,2
Iowa,Baxter,Red maple,8
Iowa,Baxter,Silver maple,18
Iowa,Baxter,Spruce,1
Iowa,Baxter,Sugar maple,146
Iowa,Baxter,Swamp white oak,2
Iowa,Baxter,White ash,1
Iowa,Bayard,American basswood,3
Iowa,Bayard,American sycamore,2
Iowa,Bayard,Black walnut,3
Iowa,Bayard,Green ash,13
Iowa,Bayard,Honeylocust,3
Iowa,Bayard,Northern hackberry,4
Iowa,Bayard,Norway maple,9
Iowa,Bayard,Siberian elm,2
Iowa,Bayard,Silver maple,12
Iowa,Bayard,Sugar maple,11
Iowa,Bondurant,American sycamore,13
Iowa,Bondurant,Apple,61
Iowa,Bondurant,Black maple,5
Iowa,Bondurant,Black walnut,6
Iowa,Bondurant,Blue spruce,12
Iowa,Bondurant,Bur oak,5
Iowa,Bondurant,Chinese elm,1
Iowa,Bondurant,Eastern red cedar,3
Iowa,Bondurant,Eastern white pine,5
Iowa,Bondurant,Green ash,40
Iowa,Bondurant,Honeylocust,6
Iowa,Bondurant,Littleleaf linden,6
Iowa,Bondurant,Maple,8
Iowa,Bondurant,Mulberry,3
Iowa,Bondurant,Northern hackberry,9
Iowa,Bondurant,Northern red oak,6
Iowa,Bondurant,Northern white cedar,15
Iowa,Bondurant,Norway maple,13
Iowa,Bondurant,Pear,17
Iowa,Bondurant,Pin oak,1
Iowa,Bondurant,Red maple,15
Iowa,Bondurant,Siberian elm,3
Iowa,Bondurant,Silver maple,34
Iowa,Bondurant,Spruce,21
Iowa,Bondurant,Sugar maple,20
Iowa,Bondurant,Swamp white oak,21
Iowa,Bondurant,White ash,9
Iowa,Bouton,American sycamore,1
Iowa,Bouton,Apple,2
Iowa,Bouton,Black maple,4
Iowa,Bouton,Black walnut,3
Iowa,Bouton,Blue spruce,1
Iowa,Bouton,Chinese elm,2
Iowa,Bouton,Eastern red cedar,1
Iowa,Bouton,Green ash,49
Iowa,Bouton,Honeylocust,6
Iowa,Bouton,Mulberry,3
Iowa,Bouton,Northern hackberry,18
Iowa,Bouton,Northern red oak,3
Iowa,Bouton,Northern white cedar,3
Iowa,Bouton,Norway maple,5
Iowa,Bouton,Silver maple,27
Iowa,Bouton,Spruce,2
Iowa,Bouton,White ash,4
Iowa,Carlisle,American basswood,15
Iowa,Carlisle,American sycamore,2
Iowa,Carlisle,Apple,24
Iowa,Carlisle,Ash,54
Iowa,Carlisle,Black maple,4
Iowa,Carlisle,Black walnut,53
Iowa,Carlisle,Blue spruce,2
Iowa,Carlisle,Bur oak,21
Iowa,Carlisle,Eastern red cedar,2
Iowa,Carlisle,Eastern white pine,43
Iowa,Carlisle,Hickory,3
Iowa,Carlisle,Honeylocust,8
Iowa,Carlisle,Littleleaf linden,8
Iowa,Carlisle,Mulberry,7
Iowa,Carlisle,Northern hackberry,64
Iowa,Carlisle,Northern red oak,51
Iowa,Carlisle,Northern white cedar,1
Iowa,Carlisle,Norway maple,8
Iowa,Carlisle,Pear,1
Iowa,Carlisle,Red maple,13
Iowa,Carlisle,Siberian elm,3
Iowa,Carlisle,Silver maple,33
Iowa,Carlisle,Spruce,1
Iowa,Carlisle,Sugar maple,18
Iowa,Colfax,American sycamore,1
Iowa,Colfax,Apple,11
Iowa,Colfax,Ash,29
Iowa,Colfax,Black maple,4
Iowa,Colfax,Black walnut,7
Iowa,Colfax,Bur oak,3
Iowa,Colfax,Chinese elm,1
Iowa,Colfax,Eastern red cedar,1
Iowa,Colfax,Eastern white pine,4
Iowa,Colfax,Honeylocust,13
Iowa,Colfax,Littleleaf linden,2
Iowa,Colfax,Maple,28
Iowa,Colfax,Mulberry,3
Iowa,Colfax,Northern hackberry,12
Iowa,Colfax,Northern red oak,6
Iowa,Colfax,Northern white cedar,3
Iowa,Colfax,Norway maple,6
Iowa,Colfax,Pear,1
Iowa,Colfax,Pin oak,2
Iowa,Colfax,Red maple,6
Iowa,Colfax,Siberian elm,12
Iowa,Colfax,Silver maple,53
Iowa,Colfax,Spruce,4
Iowa,Colfax,Sugar maple,45
Iowa,Colfax,Swamp white oak,2
Iowa,Coon Rapids,American basswood,13
Iowa,Coon Rapids,American sycamore,2
Iowa,Coon Rapids,Apple,23
Iowa,Coon Rapids,Black maple,8
Iowa,Coon Rapids,Black walnut,16
Iowa,Coon Rapids,Blue spruce,9
Iowa,Coon Rapids,Bur oak,15
Iowa,Coon Rapids,Eastern red cedar,1
Iowa,Coon Rapids,Eastern white pine,3
Iowa,Coon Rapids,Green ash,159
Iowa,Coon Rapids,Hickory,1
Iowa,Coon Rapids,Honeylocust,19
Iowa,Coon Rapids,Littleleaf linden,34
Iowa,Coon Rapids,Maple,14
Iowa,Coon Rapids,Northern hackberry,9
