city,common_name,count,mean_h
Anaheim,Red laurel,1,No info on height
Anaheim,Red maple,15,No info on height
Anaheim,Red oak,59,No info on height
Anaheim,Red willow,1,No info on height
Anaheim,Redbud,1,No info on height
Anaheim,Resident refusal,20,No info on height
Anaheim,River birch,8,No info on height
Anaheim,River wattle,1,No info on height
Anaheim,Rose mallee,10,No info on height
Anaheim,Royal poinciana,4,No info on height
Anaheim,Rubber tree,4,No info on height
Anaheim,Russet magnolia,5,No info on height
Anaheim,Rusty leaf fig,85,No info on height
Anaheim,Sago palm,6,No info on height
Anaheim,Saint mary magnolia,14,No info on height
Anaheim,Samuel sommer magnolia,599,No info on height
Anaheim,Saratoga ginkgo,4,No info on height
Anaheim,Saucer magnolia,1,No info on height
Anaheim,Sawtooth zelkova,213,No info on height
Anaheim,Scarlet oak,2,No info on height
Anaheim,Scented gum lemon,338,No info on height
Anaheim,Senegal palm,57,No info on height
Anaheim,Shamel ash,112,No info on height
Anaheim,Sharon of rose,8,No info on height
Anaheim,Shell macadamia smooth,7,No info on height
Anaheim,Shumard red oak,1,No info on height
Anaheim,Siberian elm,33,No info on height
Anaheim,Silk oak,56,No info on height
Anaheim,Silk tree,141,No info on height
Anaheim,Silver dollar gum,264,No info on height
Anaheim,Silver maple,44,No info on height
Anaheim,Smoothbark arizona cypress,1,No info on height
Anaheim,Soapberry,3,No info on height
Anaheim,Southern live oak,113,No info on height
Anaheim,Southern magnolia,4568,No info on height
Anaheim,Spanish dagger,18,No info on height
Anaheim,Spiny fiber palm,53,No info on height
Anaheim,Spotted gum,62,No info on height
Anaheim,Star pine,25,No info on height
Anaheim,Strawberry tree,3,No info on height
Anaheim,Stump,205,No info on height
Anaheim,Sugar gum,43,No info on height
Anaheim,Sunburst locust,1,No info on height
Anaheim,Swamp mahogony,16,No info on height
Anaheim,Sweet acacia,2,No info on height
Anaheim,Sweet bay,3,No info on height
Anaheim,Sweet cherry,1,No info on height
Anaheim,Sweetshade,160,No info on height
Anaheim,Sycamore,17,No info on height
Anaheim,Sydney golden wattle,1,No info on height
Anaheim,Tea tree,1,No info on height
Anaheim,Texas umbrella,3,No info on height
Anaheim,Tipu,629,No info on height
Anaheim,Tomlinson ash,16,No info on height
Anaheim,Toog,1,No info on height
Anaheim,Torrey pine,33,No info on height
Anaheim,Tree of heaven,10,No info on height
Anaheim,Tree site deleted,70,No info on height
Anaheim,Tree site does not exist,5,No info on height
Anaheim,Triangle palm,2,No info on height
Anaheim,True myrtle,3,No info on height
Anaheim,Tulip tree,230,No info on height
Anaheim,Tupidanthus,1,No info on height
Anaheim,Tuscarora crape myrtle,65,No info on height
Anaheim,Unsuitable site,41,No info on height
Anaheim,Vacant site,22601,No info on height
Anaheim,Valley oak,2,No info on height
Anaheim,Victorian box,79,No info on height
Anaheim,Village green zelkova,54,No info on height
Anaheim,Walnut,6,No info on height
Anaheim,Water gum,322,No info on height
Anaheim,Watermelon crape myrtle,3,No info on height
Anaheim,Weeping bottlebrush,962,No info on height
Anaheim,Weeping fig,216,No info on height
Anaheim,Weeping indian laurel fig,36,No info on height
Anaheim,Weeping willow,3,No info on height
Anaheim,Western catalpa,1,No info on height
Anaheim,Western redbud,17,No info on height
Anaheim,White alder,138,No info on height
Anaheim,White crape myrtle,3,No info on height
Anaheim,White ironbark,8,No info on height
Anaheim,White mulberry,112,No info on height
Anaheim,White oak,2,No info on height
Anaheim,White poplar,6,No info on height
Anaheim,White sapote,2,No info on height
Anaheim,Willow,8,No info on height
Anaheim,Willow pittosporum,2,No info on height
Anaheim,Wilson holly,11,No info on height
Anaheim,Windmill palm,785,No info on height
Anaheim,Xylosma,6,No info on height
Anaheim,Yellow oleander,1,No info on height
Anaheim,Yew pine,101,No info on height
Anaheim,not accessible stump,3,No info on height
Aurora,Accolade elm,218,No info on height
Aurora,Alder buckthorn,36,No info on height
Aurora,American elm,612,No info on height
Aurora,American linden,1562,No info on height
Aurora,American yellowwood,1,No info on height
Aurora,Amur corktree,6,No info on height
Aurora,Amur maackia,7,No info on height
Aurora,Amur maple,264,No info on height
Aurora,Apple,48,No info on height
Aurora,Arborvitae,70,No info on height
Aurora,Aristocrat pear,49,No info on height
Aurora,Ash mountain,12,No info on height
Aurora,Aspen,143,No info on height
Aurora,Austrian pine,1517,No info on height
Aurora,Austrian/ponderosa pine,804,No info on height
Aurora,Autumn blaze maple,243,No info on height
Aurora,Autumn brilliance serviceberry,2,No info on height
Aurora,Autumn gold ginkgo,1,No info on height
Aurora,Autumn olive,1,No info on height
Aurora,Bald cypress,1,No info on height
Aurora,Bigtooth/wasatch maple,11,No info on height
Aurora,Birch,7,No info on height
Aurora,Black cherry,2,No info on height
Aurora,Black locust,19,No info on height
Aurora,Black walnut,21,No info on height
Aurora,Blue spruce,1205,No info on height
Aurora,Boleana/lombardy poplar,7,No info on height
Aurora,Boxelder,25,No info on height
Aurora,Bradford pear,141,No info on height
Aurora,Bristlecone pine,19,No info on height
Aurora,Buckthorn,7,No info on height
Aurora,Bur oak,296,No info on height
Aurora,Burgundy ussurian pear,3,No info on height
Aurora,Canada red cherry,37,No info on height
Aurora,Cathedral elm,16,No info on height
Aurora,Centurion crabapple,180,No info on height
Aurora,Chanticleer pear,1284,No info on height
Aurora,Chestnut oak,2,No info on height
Aurora,Chicagoland hackberry,30,No info on height
Aurora,Chinese catalpa,14,No info on height
Aurora,Chinkapin oak,224,No info on height
Aurora,Chokecherry,53,No info on height
Aurora,Colorado spruce,29,No info on height
Aurora,Columnar english oak,19,No info on height
Aurora,Columnar norway maple,29,No info on height
Aurora,Coralburst crabapple,2,No info on height
Aurora,Corinthian linden,24,No info on height
Aurora,Cottonwood,966,No info on height
Aurora,Crabapple,1206,No info on height
Aurora,Crack willow,155,No info on height
Aurora,Crimson king maple,6,No info on height
Aurora,Crimson spire oak,61,No info on height
Aurora,Crimson sunset maple,101,No info on height
Aurora,David elm,34,No info on height
Aurora,Deborah norway maple,12,No info on height
Aurora,Dolgo crabapple,7,No info on height
Aurora,Downy hawthorn,1,No info on height
Aurora,Eastern red cedar,13,No info on height
Aurora,Eastern white pine,2,No info on height
Aurora,Emerald lustre norway maple,37,No info on height
Aurora,Emerald queen norway maple,5,No info on height
Aurora,Emerald sunshine elm,97,No info on height
Aurora,English oak,601,No info on height
Aurora,Espresso kentucky coffee tree,4,No info on height
Aurora,European beech,1,No info on height
Aurora,European euonymous,5,No info on height
Aurora,European/swedish aspen,14,No info on height
Aurora,Expresso kentucky coffee tree,101,No info on height
Aurora,Fairview norway maple,1,No info on height
Aurora,Fall gold ash,7,No info on height
Aurora,Fir,26,No info on height
Aurora,Fir douglas,45,No info on height
Aurora,Flash fire sugar maple,1,No info on height
Aurora,Frontier elm,26,No info on height
Aurora,Gambel oak,18,No info on height
Aurora,Ginkgo,8,No info on height
Aurora,Glenleven linden,24,No info on height
Aurora,Globe willow,4,No info on height
Aurora,Golden rain tree,241,No info on height
Aurora,Green ash,5465,No info on height
Aurora,Green mountain sugar maple,39,No info on height
Aurora,Greenspire linden,137,No info on height
Aurora,Hackberry,2463,No info on height
Aurora,Hardy rubber tree,10,No info on height
Aurora,Harvest gold crabapple,1,No info on height
Aurora,Harvest gold linden,2,No info on height
Aurora,Hawthorn,38,No info on height
Aurora,Heaven of tree,53,No info on height
Aurora,Hedge maple,7,No info on height
Aurora,Heritage oak,49,No info on height
Aurora,Honeylocust,8388,No info on height
Aurora,Horsechestnut,4,No info on height
Aurora,Hot wings tatarian maple,46,No info on height
Aurora,Hybrid regal elm,1,No info on height
Aurora,Japanese pagodatree,68,No info on height
Aurora,Japanese tree lilac,76,No info on height
Aurora,Japanese zelkova,3,No info on height
Aurora,Kentucky coffee tree,143,No info on height
Aurora,Kobus magnolia,6,No info on height
Aurora,Kwanzan cherry,4,No info on height
Aurora,Laceleaf laciniata sumac,9,No info on height
Aurora,Lanceleaf cottonwood,317,No info on height
Aurora,Limber pine,64,No info on height
Aurora,Linden,6107,No info on height
Aurora,Littleleaf linden,117,No info on height
Aurora,London planetree,2,No info on height
Aurora,Mancana ash,3,No info on height
Aurora,Mayday tree,1,No info on height
Aurora,Miyabe maple,84,No info on height
Aurora,Montmorency cherry,28,No info on height
Aurora,Mulberry,11,No info on height
Aurora,Narrowleaf cottonwood,62,No info on height
Aurora,New harmony elm,1,No info on height
Aurora,Newport plum,146,No info on height
Aurora,Northern catalpa,18,No info on height
Aurora,Northern flare sugar maple,2,No info on height
Aurora,Northern red oak,536,No info on height
Aurora,Norway maple,4614,No info on height
Aurora,Norway spruce,1,No info on height
Aurora,Norwegian sunset maple,96,No info on height
Aurora,Ohio buckeye,26,No info on height
Aurora,Other elm,211,No info on height
Aurora,Other fruit,28,No info on height
Aurora,Other pine,245,No info on height
Aurora,Other plum,44,No info on height
Aurora,Other spruce,97,No info on height
Aurora,Other walnut,1,No info on height
Aurora,Pacific sunset maple,220,No info on height
Aurora,Patmore ash,125,No info on height
Aurora,Peachleaf willow,241,No info on height
